axis,tissue_key,condition,constrained,n_echoes,dTE_ms,snr,noise,sigma_joint,max_relSD_T2,functional,functional_value,functional_SD,delta
snr,spinal_cord_wm,normal,0,32,10.0,200.0,rician,0,16.512676189952924,myelin water fraction (mass below 40 ms),0.296,0.05848850506013045,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,300.0,rician,0,11.004697479604793,myelin water fraction (mass below 40 ms),0.296,0.038984940240320565,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,500.0,rician,0,6.6016691811547625,myelin water fraction (mass below 40 ms),0.296,0.023388698166631534,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,700.0,rician,0,4.715252123193453,myelin water fraction (mass below 40 ms),0.296,0.01670576756985938,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,1000.0,rician,0,3.3005925318338547,myelin water fraction (mass below 40 ms),0.296,0.011693871728316645,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,1500.0,rician,0,2.200365153550964,myelin water fraction (mass below 40 ms),0.296,0.007795855579807388,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,2000.0,rician,0,1.6502660258807964,myelin water fraction (mass below 40 ms),0.296,0.005846876223877149,-0.0305
snr,spinal_cord_wm,normal,0,32,10.0,3000.0,rician,0,1.1001736177084263,myelin water fraction (mass below 40 ms),0.296,0.003897910120287528,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,20.0,rician,0,1.312094986676897,myelin water fraction (mass below 40 ms),0.296,0.23500795152473988,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,30.0,rician,0,0.8620100371222502,myelin water fraction (mass below 40 ms),0.296,0.15252444384985842,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,50.0,rician,0,0.5136440550514936,myelin water fraction (mass below 40 ms),0.296,0.09036505179669749,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,70.0,rician,0,0.3662882005783025,myelin water fraction (mass below 40 ms),0.296,0.06435487831674287,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,100.0,rician,0,0.2561893774263856,myelin water fraction (mass below 40 ms),0.296,0.04498089461472445,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,150.0,rician,0,0.17071901989620306,myelin water fraction (mass below 40 ms),0.296,0.029963807429115766,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,200.0,rician,0,0.12802005658608806,myelin water fraction (mass below 40 ms),0.296,0.02246676346822667,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,300.0,rician,0,0.08533759638653637,myelin water fraction (mass below 40 ms),0.296,0.014974954595020188,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,500.0,rician,0,0.05119976725340727,myelin water fraction (mass below 40 ms),0.296,0.008984088182744055,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,700.0,rician,0,0.03657071378126779,myelin water fraction (mass below 40 ms),0.296,0.006417031980238347,-0.0305
snr,spinal_cord_wm,normal,1,32,10.0,1000.0,rician,0,0.02559929573404366,myelin water fraction (mass below 40 ms),0.296,0.004491857756433624,-0.0305
