N,dTE,t_min,t_max,T_min,T_max,gamma,SNR,n_per_sample,bbp,s1_over_s0,s2_over_s0,s3_over_s0,s4_over_s0,picard_2c,picardraw_2c,energy_2c,picard_3c,picardraw_3c,energy_3c
16,10.0,10.0,160.0,1.0,10000.0,10000.0,300,4,11.29,0.1599535336934721,0.041493230398185796,0.010964369038400389,0.0027509482958023718,4,4,5,4,3,5
16,10.0,10.0,160.0,1.0,10000.0,10000.0,1000,5,13.54,0.1599535336934721,0.041493230398185796,0.010964369038400389,0.0027509482958023718,6,6,6,6,3,6
32,10.0,10.0,320.0,10.0,100.0,10.0,30,3,1.75,0.2355565311889323,0.06162320933841295,0.01567569517396578,0.003761446893572126,2,3,3,5,5,3
32,10.0,10.0,320.0,10.0,100.0,10.0,100,4,2.31,0.2355565311889323,0.06162320933841295,0.01567569517396578,0.003761446893572126,3,3,4,7,7,4
32,10.0,10.0,320.0,10.0,100.0,10.0,300,5,2.82,0.2355565311889323,0.06162320933841295,0.01567569517396578,0.003761446893572126,4,3,5,8,8,5
32,10.0,10.0,320.0,10.0,100.0,10.0,1000,5,3.38,0.2355565311889323,0.06162320933841295,0.01567569517396578,0.003761446893572126,5,3,6,9,9,6
32,10.0,10.0,320.0,10.0,1000.0,100.0,30,3,3.5,0.2466570485038729,0.07485594626868043,0.021809981423003662,0.005774053700610845,3,2,4,3,2,4
32,10.0,10.0,320.0,10.0,1000.0,100.0,100,4,4.62,0.2466570485038729,0.07485594626868043,0.021809981423003662,0.005774053700610845,5,5,4,4,5,5
32,10.0,10.0,320.0,10.0,1000.0,100.0,300,5,5.65,0.2466570485038729,0.07485594626868043,0.021809981423003662,0.005774053700610845,5,5,5,4,5,5
32,10.0,10.0,320.0,10.0,1000.0,100.0,1000,6,6.77,0.2466570485038729,0.07485594626868043,0.021809981423003662,0.005774053700610845,6,6,6,5,5,6
32,10.0,10.0,320.0,5.0,2000.0,400.0,30,3,4.55,0.22549294067619083,0.06959097615989333,0.022239057696213583,0.006878639371713643,2,2,4,3,2,4
32,10.0,10.0,320.0,5.0,2000.0,400.0,100,4,6.01,0.22549294067619083,0.06959097615989333,0.022239057696213583,0.006878639371713643,5,2,5,3,2,5
32,10.0,10.0,320.0,5.0,2000.0,400.0,300,5,7.35,0.22549294067619083,0.06959097615989333,0.022239057696213583,0.006878639371713643,5,2,5,5,2,6
32,10.0,10.0,320.0,5.0,2000.0,400.0,1000,6,8.81,0.22549294067619083,0.06959097615989333,0.022239057696213583,0.006878639371713643,6,2,6,7,7,6
32,10.0,10.0,320.0,1.0,10000.0,10000.0,30,3,6.99,0.18460454455136951,0.055546212962529325,0.01778335100297256,0.005623966877468557,4,4,3,3,4,3
32,10.0,10.0,320.0,1.0,10000.0,10000.0,100,4,9.24,0.18460454455136951,0.055546212962529325,0.01778335100297256,0.005623966877468557,5,5,4,4,5,4
32,10.0,10.0,320.0,1.0,10000.0,10000.0,300,5,11.29,0.18460454455136951,0.055546212962529325,0.01778335100297256,0.005623966877468557,5,6,5,5,5,5
32,10.0,10.0,320.0,1.0,10000.0,10000.0,1000,6,13.54,0.18460454455136951,0.055546212962529325,0.01778335100297256,0.005623966877468557,7,6,6,7,7,6
32,5.0,5.0,160.0,10.0,100.0,10.0,30,3,1.75,0.24537738841619747,0.06038610692027151,0.012733918252206083,0.00227313942862602,3,3,3,4,4,3
32,5.0,5.0,160.0,10.0,100.0,10.0,100,4,2.31,0.24537738841619747,0.06038610692027151,0.012733918252206083,0.00227313942862602,3,3,4,5,5,4
32,5.0,5.0,160.0,10.0,100.0,10.0,300,4,2.82,0.24537738841619747,0.06038610692027151,0.012733918252206083,0.00227313942862602,4,4,5,6,6,5
32,5.0,5.0,160.0,10.0,100.0,10.0,1000,5,3.38,0.24537738841619747,0.06038610692027151,0.012733918252206083,0.00227313942862602,5,5,5,7,7,5
32,5.0,5.0,160.0,10.0,1000.0,100.0,30,3,3.5,0.2195450202833479,0.05772208249727174,0.013131832942861334,0.00253287705639079,3,3,3,3,3,3
32,5.0,5.0,160.0,10.0,1000.0,100.0,100,4,4.62,0.2195450202833479,0.05772208249727174,0.013131832942861334,0.00253287705639079,4,3,4,4,3,4
32,5.0,5.0,160.0,10.0,1000.0,100.0,300,4,5.65,0.2195450202833479,0.05772208249727174,0.013131832942861334,0.00253287705639079,4,4,5,5,5,5
32,5.0,5.0,160.0,10.0,1000.0,100.0,1000,5,6.77,0.2195450202833479,0.05772208249727174,0.013131832942861334,0.00253287705639079,5,6,6,5,6,6
32,5.0,5.0,160.0,5.0,2000.0,400.0,30,3,4.55,0.2051471351559364,0.06061588005814088,0.017656399689077396,0.004698831615046081,3,3,4,3,3,4
32,5.0,5.0,160.0,5.0,2000.0,400.0,100,4,6.01,0.2051471351559364,0.06061588005814088,0.017656399689077396,0.004698831615046081,4,3,5,4,4,5
32,5.0,5.0,160.0,5.0,2000.0,400.0,300,5,7.35,0.2051471351559364,0.06061588005814088,0.017656399689077396,0.004698831615046081,4,4,5,5,4,5
32,5.0,5.0,160.0,5.0,2000.0,400.0,1000,6,8.81,0.2051471351559364,0.06061588005814088,0.017656399689077396,0.004698831615046081,6,6,6,6,6,6
32,5.0,5.0,160.0,1.0,10000.0,10000.0,30,3,6.99,0.17177714774000394,0.051309456429849534,0.016386700597247023,0.005176269595709538,3,3,4,3,3,4
32,5.0,5.0,160.0,1.0,10000.0,10000.0,100,4,9.24,0.17177714774000394,0.051309456429849534,0.016386700597247023,0.005176269595709538,3,3,5,4,3,5
32,5.0,5.0,160.0,1.0,10000.0,10000.0,300,5,11.29,0.17177714774000394,0.051309456429849534,0.016386700597247023,0.005176269595709538,4,3,6,5,6,6
32,5.0,5.0,160.0,1.0,10000.0,10000.0,1000,6,13.54,0.17177714774000394,0.051309456429849534,0.016386700597247023,0.005176269595709538,7,3,7,7,7,7
64,10.0,10.0,640.0,10.0,100.0,10.0,30,3,1.75,0.23573723033900665,0.062010263684520193,0.016173649975981544,0.004175332043118633,2,3,3,7,7,3
64,10.0,10.0,640.0,10.0,100.0,10.0,100,4,2.31,0.23573723033900665,0.062010263684520193,0.016173649975981544,0.004175332043118633,3,3,4,10,10,4
64,10.0,10.0,640.0,10.0,100.0,10.0,300,5,2.82,0.23573723033900665,0.062010263684520193,0.016173649975981544,0.004175332043118633,4,3,5,11,11,5
64,10.0,10.0,640.0,10.0,100.0,10.0,1000,6,3.38,0.23573723033900665,0.062010263684520193,0.016173649975981544,0.004175332043118633,6,6,6,12,12,6
